Publishing Date,City,Address,Type,Description,Price (in €),Number_Room,Number_Bedroom,Surface (in m²),Latitude,Longitude,Link,Salles d'eau,Toilettes,Surface séjour,Surface terrasse,Etage,Nbre d'étages,Exposition,Salles de bain,Vue,Environnement,Surface totale,Taxe foncière,Surface terrain,Taxe habitation
28/01/23,Le Diamant,97223,Appartement,LE DIAMANT T1 VUE MER,178200,1,0,25.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231284292823214/,1,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25/01/23,Le Diamant,97223,Appartement,APPARTEMENT T3 DANS RÉSIDENCE CALME ET SECURISEE,318370,3,2,67.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231254282474353/,0,1,0.0,0.0,0,3,0,1,0,0,0.0,0.0,0.0,0.0
25/01/23,Le Diamant,97223,Appartement,APPARTEMENT T1 DANS RÉSIDENCE CALME ET SECURISEE,189000,1,0,27.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231254282474350/,0,1,0.0,0.0,0,3,0,1,0,0,0.0,0.0,0.0,0.0
25/01/23,Le Diamant,97223,Appartement,APPARTEMENT T2 DANS RESIDENCE CALME ET SECURISEE,223492,2,0,47.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231254282474347/,0,1,0.0,0.0,0,3,0,1,0,0,0.0,0.0,0.0,0.0
20/01/23,Le Diamant,97223,Appartement,Super T1 vue mer splendide,198550,1,0,25.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231204495544496/,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20/01/23,Le Diamant,97223,Appartement,Sur la commune du DIAMANT,231000,3,2,47.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231204495544475/,1,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19/01/23,Le Diamant,97223,Appartement,Appartement vue mer,194400,1,0,37.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231195101094268/,1,1,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13/01/23,Le Diamant,97223,Appartement,LE DIAMANT : appartement F3 (47 m²) en vente,233500,3,2,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/231134317911894/,0,0,0.0,0.0,0,1,0,1,0,0,0.0,0.0,0.0,0.0
17/12/22,Le Diamant,97223,Appartement,INVESTISSEMENT VUE MER,183600,1,0,25.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221217426417366/,1,1,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0
10/12/22,Le Diamant,97223,Appartement,Appartement Le Diamant,223493,2,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221210438075017/,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,322571,3,2,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771032/,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,226643,2,0,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771029/,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
26/11/22,Le Diamant,97223,Appartement,Appartement Le Diamant,321521,3,2,0.0,14.4814886,-61.0201981,https://www.domimmo.com/martinique/immobilier/221126419771026/,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,0.0
