Publishing Date,City,Address,Type,Description,Price (in €),Number_Room,Number_Bedroom,Surface (in m²),Latitude,Longitude,Link
30/10/22,Ducos,97224,Immeuble,Immeuble de rapport Ducos 6 pièce(s) 260 m2,460000,6,0,260.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/225314288781272/
30/10/22,Ducos,97224,Terrain,Terrain de 3 115 m² en vente à DUCOS-97224,477000,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/225174504710384/
30/10/22,Ducos,97224,Local commercial,Grand immeuble commercial- diverses possibilités-,467500,11,0,272.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/224274344698025/
30/10/22,Ducos,97224,Terrain,Terrain Ducos 572 m2,101930,0,0,572.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/224742612826812/
30/10/22,Ducos,97224,Appartement,APPARTEMENTS NEUFS DU STUDIO AU T3 DÈS 99 675€ TTC DUCOS,99675,2,0,44.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/223281184357457/
30/10/22,Ducos,97224,Appartement,AppT4 en rez-de-chaussée belle vue dégagée,224700,4,3,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/223443820054475/
30/10/22,Ducos,97224,Terrain,Terrain viabilisé,518400,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/222164148235440/
30/10/22,Ducos,97224,Maison / Villa,"Dpt Martinique (972), à vendre DUCOS grande maison composée ",630000,11,0,300.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/211230434940197/
30/10/22,Ducos,97224,Maison / Villa,SPACIEUSE VILLA T4,371000,4,3,110.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/211295188330094/
30/10/22,Ducos,97224,Immeuble,Immeuble de rapport - Ducos 10 pièce(s) 181 m2 - Morne Caret,328000,10,4,181.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/211111411830339/
30/10/22,Ducos,97224,Immeuble,Immeuble de rapport Ducos 10 pièces 181 m2 - terrain de 3306,428000,10,4,181.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/211010529590658/
30/10/22,Ducos,97224,Appartement,Grand appartement T4 en vente à Ducos,139900,4,3,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/211094137068686/
30/10/22,Ducos,97224,Terrain,A VENDRE DUCOS 10 terrains viablisés,92102,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/213111236727786/
30/10/22,Ducos,97224,Terrain,"À Ducos, terrain de 575m2 avec Maisons Alizea",80000,0,0,575.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/211155128554984/
30/10/22,Ducos,97224,Terrain,DUCOS - TERRAIN,120000,4,3,600.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/201221633648621/
30/10/22,Ducos,97224,Maison / Villa,DUCOS - TERRAIN + MAISON,285000,4,3,98.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/201130205118522/
30/10/22,Ducos,97224,Immeuble,Spécial investisseurs,840000,0,0,1500.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/202169513430634/
30/10/22,Ducos,97224,Terrain,Terrain de 2 290 m2 + maison de type F4 à Ducos,250000,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/191185215007928/
30/10/22,Ducos,97224,Terrain,"À Ducos, terrain de 1202m2 à acheter 96080 EUR",96080,0,0,0.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/197204292068438/
30/10/22,Ducos,97224,Terrain,BEAU TERRAIN DANS SECTEUR CALME ET RESIDENTIEL,136000,0,0,800.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/191221956397321/
30/10/22,Ducos,97224,Appartement,F2 en défiscalisation avec vue mer- programme neuf,178500,2,0,44.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/189111958972968/
30/10/22,Ducos,97224,Appartement,F2 en défiscalisation avec vue mer- programme neuf,178500,2,0,44.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/189150896957186/
30/10/22,Ducos,97224,Appartement,Dans un quartier calme et ventilé de Ducos un programme neuf,204750,3,2,58.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/188294163633011/
30/10/22,Ducos,97224,Appartement,Dans un quartier calme et ventilé de Ducos un programme neuf,178500,2,0,44.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/188294163633005/
30/10/22,Ducos,97224,Appartement,"Martinique (972), DUCOS Programme Neuf T3 de 64 m²",220000,3,2,64.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/185115557484624/
30/10/22,Ducos,97224,Appartement,"Dpt Martinique (972),DUCOS appartT3 de 76 m² Programme NEUF",260000,3,2,77.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/176145473962369/
30/10/22,Ducos,97224,Appartement,"Dpt Martinique (972), DUCOS appart T2 de 37 m² + terrasse Pr",170000,2,0,37.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/176222529526853/
30/10/22,Ducos,97224,Appartement,GRAND APPARTEMENT F3 - 90 M² - DUCOS,146000,3,2,70.0,14.5743247,-60.9719008,https://www.domimmo.com/martinique/immobilier/176121281768664/
